1 	Karl 	340082 	64550
2 	Erik 	334166 	67190
3 	Lars 	229563 	87298
4 	Anders 	188794 	77879
5 	Per 	183620 	66587
6 	Mikael 	179236 	79633
7 	Johan 	176187 	74984
8 	Olof 	147065 	14356
9 	Nils 	140311 	37812
10 	Jan 	128170 	60273
11 	Gustav 	121707 	27919
12 	Hans 	117614 	47780
13 	Peter 	114509 	62544
14 	Lennart 	114365 	24371
15 	Gunnar 	104637 	15747
16 	Sven 	103078 	34553
17 	Fredrik 	101256 	54502
18 	Thomas 	98396 	60731
19 	Bengt 	90588 	42569
20 	Daniel 	90041 	57061
21 	Bo 	88005 	39583
22 	Alexander 	84762 	39230
23 	Oskar 	82949 	39703
24 	Göran 	80165 	25432
25 	Åke 	79824 	14424
26 	Christer 	77707 	32341
27 	Andreas 	76212 	45475
28 	Stefan 	74876 	45061
29 	Magnus 	74122 	41606
30 	Martin 	73958 	39099
31 	John 	68933 	22021
32 	Mattias 	68449 	41694
33 	Mats 	68349 	43759
34 	Henrik 	65180 	32730
35 	Leif 	64432 	34786
36 	Ulf 	63338 	32556
37 	Mohamed 	63180 	42089
38 	Jonas 	61987 	41036
39 	Björn 	61671 	35421
40 	Axel 	60495 	19926
41 	Bertil 	58798 	11024
42 	Arne 	57843 	12032
43 	Robert 	57752 	27911
44 	Christian 	57169 	27486
45 	Marcus 	56880 	42714
46 	David 	56197 	32937
47 	Viktor 	56176 	34955
48 	Ingemar 	56042 	7839
49 	Niklas 	55601 	39746
50 	Emil 	55288 	31497
51 	Patrik 	52959 	35277
52 	Kjell 	52915 	28506
53 	Håkan 	52541 	25842
54 	Rickard 	51352 	25972
55 	Christoffer 	51263 	29652
56 	Stig 	51229 	23162
57 	Rolf 	50344 	25022
58 	Joakim 	48938 	32379
59 	Wilhelm 	47449 	24427
60 	William 	46659 	26216
61 	Tommy 	46254 	27986
62 	Filip 	45611 	32023
63 	Roland 	42871 	10443
64 	Claes 	39856 	17915
65 	Simon 	39481 	30897
66 	Sebastian 	39154 	22799
67 	Anton 	38511 	28411
68 	Roger 	38157 	18804
69 	Ingvar 	37320 	5621
70 	Kent 	36590 	19995
71 	Ove 	33528 	8504
72 	Johannes 	33123 	10004
73 	Tobias 	32862 	22182
74 	Kenneth 	32017 	15702
75 	Jakob 	31885 	23041
76 	Jonathan 	31587 	23100
77 	Emanuel 	31368 	3248
78 	Hugo 	31040 	17711
79 	Elias 	30755 	21128
80 	Jörgen 	30570 	16593
81 	Lucas 	30224 	25146
82 	Robin 	29890 	23045
83 	Adam 	29836 	23062
84 	Kurt 	29002 	14363
85 	Rune 	28059 	7393
86 	Gösta 	26360 	5063
87 	Ali 	26290 	14946
88 	Georg 	25761 	1913
89 	Johnny 	25034 	14688
90 	Josef 	24685 	13738
91 	Oliver 	24539 	18363
92 	Linus 	24355 	19885
93 	Arvid 	23886 	11293
94 	Isak 	23640 	17779
95 	Ludvig 	23477 	15600
96 	Torbjörn 	23375 	12540
97 	Sten 	23346 	9864
98 	Albin 	23127 	16437
99 	Dan 	22895 	11837
100 	Alf 	22421 	9323
